dataset,C_latent_diff_uncond_auc_roc_mean,E_caldm_d_auc_roc_mean,F_caldm_j_auc_roc_mean,C_latent_diff_uncond_auc_roc_std,E_caldm_d_auc_roc_std,F_caldm_j_auc_roc_std,C_latent_diff_uncond_ap_mean,E_caldm_d_ap_mean,F_caldm_j_ap_mean,C_latent_diff_uncond_ap_std,E_caldm_d_ap_std,F_caldm_j_ap_std,C_latent_diff_uncond_f1_mean,E_caldm_d_f1_mean,F_caldm_j_f1_mean,C_latent_diff_uncond_f1_std,E_caldm_d_f1_std,F_caldm_j_f1_std,C_latent_diff_uncond_precision_mean,E_caldm_d_precision_mean,F_caldm_j_precision_mean,C_latent_diff_uncond_precision_std,E_caldm_d_precision_std,F_caldm_j_precision_std,C_latent_diff_uncond_recall_mean,E_caldm_d_recall_mean,F_caldm_j_recall_mean,C_latent_diff_uncond_recall_std,E_caldm_d_recall_std,F_caldm_j_recall_std,n_rows,n_features,outlier_rate
10_cover,0.9334009760768687,0.9353914574069463,0.5604940971740889,,,,0.07200625370553208,0.07423834956143069,0.010593879283441219,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,286048,10,0.009603283365029646
11_donors,0.8332826037831071,0.8339015502550184,0.818866854683592,,,,0.17146528723293894,0.17223516937412597,0.14436425123735144,,,,0.2076545900299646,0.2081994007082539,0.08060473985290112,,,,0.2076545900299646,0.20819940070825388,0.08060473985290112,,,,0.2076545900299646,0.20819940070825388,0.08060473985290112,,,,619326,10,0.05927411411760527
14_glass,0.6758807588075881,0.6726287262872628,0.6569105691056911,,,,0.10195382046423764,0.10140808153850218,0.08792666473986843,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,214,7,0.04205607476635514
17_InternetAds,0.6146405833378681,0.6147001006693149,0.6099149072209827,,,,0.2956158269673706,0.2956141825837889,0.2884103837136227,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,1966,1555,0.1871820956256358
18_Ionosphere,0.7833509700176368,0.7831393298059964,0.8049029982363315,,,,0.7306536438732226,0.7274216557688169,0.7642531238421351,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,351,32,0.358974358974359
19_landsat,0.3688918603621897,0.35454933902036856,0.5652016198875277,,,,0.1646236385116388,0.1573690285439428,0.22648649470908172,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,6435,36,0.20714840714840715
20_letter,0.5303533333333335,0.5226,0.6788666666666666,,,,0.07634831976971729,0.07667909991106982,0.13085144784528135,,,,0.07,0.08,0.19,,,,0.07,0.08,0.19,,,,0.07,0.08,0.19,,,,1600,32,0.0625
23_mammography,0.8673075162501145,0.8730730498102098,0.7654536299551407,,,,0.19641391518556908,0.19764969946021269,0.1039425595381231,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,11183,6,0.023249575248144506
24_mnist,0.8500712940543448,0.8478327228327228,0.872127025516856,,,,0.3834481284158137,0.3801851465547446,0.40463423642809315,,,,0.38571428571428573,0.38,0.39571428571428574,,,,0.38571428571428573,0.38,0.39571428571428574,,,,0.38571428571428573,0.38,0.39571428571428574,,,,7603,100,0.09206892016309351
25_musk,0.999993046017976,0.9999791380539281,0.8009978964204377,,,,0.9997885220620291,0.9993654312791393,0.31450361079666705,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,3062,166,0.03167864141084259
26_optdigits,0.5017015396762732,0.5217370706671931,0.5333089880247401,,,,0.026061031349905804,0.027158021883085144,0.02810421249648925,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5216,64,0.028757668711656442
27_PageBlocks,0.8945838503330883,0.8913304662434296,0.8843510699385221,,,,0.49430215394590543,0.4850888563210478,0.5253195636597745,,,,0.45098039215686275,0.44509803921568625,0.46862745098039216,,,,0.45098039215686275,0.44509803921568625,0.46862745098039216,,,,0.45098039215686275,0.44509803921568625,0.46862745098039216,,,,5393,10,0.09456703133691823
28_pendigits,0.9230721492785835,0.935112623450425,0.8589819970517022,,,,0.20364157482506792,0.22043173527106838,0.11436978334895394,,,,0.3141025641025641,0.3141025641025641,0.16666666666666666,,,,0.3141025641025641,0.3141025641025641,0.16666666666666666,,,,0.3141025641025641,0.3141025641025641,0.16666666666666666,,,,6870,16,0.022707423580786028
30_satellite,0.6067762542924786,0.5942565532173547,0.6549662340655202,,,,0.6124764088388015,0.5896741271715643,0.5040005486763821,,,,0.4916502946954813,0.4769155206286837,0.4395874263261297,,,,0.4916502946954813,0.4769155206286837,0.4395874263261297,,,,0.4916502946954813,0.4769155206286837,0.4395874263261297,,,,6435,36,0.3163947163947164
31_satimage-2,0.977327678562653,0.9766470420569474,0.9982775227779798,,,,0.8268057992177886,0.8632798655458943,0.9408114099414886,,,,0.7887323943661971,0.8028169014084506,0.8591549295774648,,,,0.7887323943661971,0.8028169014084507,0.8591549295774648,,,,0.7887323943661971,0.8028169014084507,0.8591549295774648,,,,5803,36,0.0122350508357746
32_shuttle,0.990903341146064,0.9908733790922508,0.9277825313585023,,,,0.9183931150447029,0.9182450329973945,0.569860139692373,,,,0.951011107946454,0.9512959270863002,0.6200512674451724,,,,0.951011107946454,0.9512959270863002,0.6200512674451724,,,,0.951011107946454,0.9512959270863002,0.6200512674451724,,,,49097,9,0.0715114976475141
34_smtp,0.849974419892213,0.8560852623537905,0.7872460385874173,,,,0.34062631677454797,0.34227459162888996,0.36009249822077094,,,,0.6333333333333333,0.6333333333333333,0.6666666666666666,,,,0.6333333333333333,0.6333333333333333,0.6666666666666666,,,,0.6333333333333333,0.6333333333333333,0.6666666666666666,,,,95156,3,0.0003152717642607928
35_SpamBase,0.5503683344516401,0.5499296503343613,0.545096821495616,,,,0.4096862357425109,0.40951929158219424,0.408228814798962,,,,0.43537820131030375,0.4371649791542585,0.4258487194758785,,,,0.43537820131030375,0.4371649791542585,0.4258487194758785,,,,0.43537820131030375,0.4371649791542585,0.4258487194758785,,,,4207,57,0.39909674352270025
36_speech,0.46898812888637653,0.46955794234030535,0.4722713397399661,,,,0.018409583083303094,0.01843349153399877,0.018788537622014552,,,,0.03278688524590164,0.03278688524590164,0.01639344262295082,,,,0.03278688524590164,0.03278688524590164,0.01639344262295082,,,,0.03278688524590164,0.03278688524590164,0.01639344262295082,,,,3686,400,0.016549104720564298
38_thyroid,0.9526402394292512,0.9524561080471259,0.9606747976746837,,,,0.3511613924619156,0.3378905362996321,0.4660133870501067,,,,0.35483870967741943,0.35483870967741943,0.4838709677419355,,,,0.3548387096774194,0.3548387096774194,0.4838709677419355,,,,0.3548387096774194,0.3548387096774194,0.4838709677419355,,,,3772,6,0.024655355249204668
3_backdoor,0.8871015249518691,0.8868650304482518,0.9005728749705675,,,,0.5062998892691786,0.506268466011799,0.5028415924704244,,,,0.46457707170459417,0.46457707170459417,0.5002146844139116,,,,0.4645770717045942,0.4645770717045942,0.5002146844139116,,,,0.4645770717045942,0.4645770717045942,0.5002146844139116,,,,95329,196,0.02443118043827167
40_vowels,0.6261735419630157,0.6158890469416785,0.698221906116643,,,,0.07154717159566387,0.0666324490611955,0.08374463706024834,,,,0.14,0.14,0.14,,,,0.14,0.14,0.14,,,,0.14,0.14,0.14,,,,1456,12,0.034340659340659344
41_Waveform,0.6537959916242896,0.6546036494166916,0.5532216571941371,,,,0.047670310876751235,0.04838456035875648,0.03718723557427542,,,,0.05000000000000001,0.06,0.06,,,,0.05,0.06,0.06,,,,0.05,0.06,0.06,,,,3443,21,0.02904443799012489
5_campaign,0.7340584288304847,0.7341396546770804,0.7633068392817381,,,,0.2848883690291694,0.2848563394293883,0.26781570710062597,,,,0.36810344827586206,0.36831896551724136,0.2954741379310345,,,,0.36810344827586206,0.36831896551724136,0.2954741379310345,,,,0.36810344827586206,0.36831896551724136,0.2954741379310345,,,,41188,62,0.11265417111780131
6_cardio,0.9490490249931336,0.9500892611919803,0.912675089261192,,,,0.6091986064510584,0.6124059589075317,0.491894173699926,,,,0.5965909090909091,0.6193181818181818,0.4943181818181818,,,,0.5965909090909091,0.6193181818181818,0.4943181818181818,,,,0.5965909090909091,0.6193181818181818,0.4943181818181818,,,,1831,21,0.0961223375204806
7_Cardiotocography,0.7498385349389558,0.7552892828867869,0.5864378463685987,,,,0.4715535331308458,0.47588872078796385,0.3576973399091373,,,,0.44635193133047213,0.45064377682403434,0.3605150214592274,,,,0.44635193133047213,0.45064377682403434,0.3605150214592275,,,,0.44635193133047213,0.45064377682403434,0.3605150214592275,,,,2114,21,0.22043519394512773
8_celeba,0.7845691751759343,0.7844442321477076,0.658042324876805,,,,0.11207238340455503,0.11211903560117177,0.03844586623770871,,,,0.1684442001099505,0.1691224983505608,0.05432153067956895,,,,0.16842568161829374,0.1691224983505608,0.05432153067956895,,,,0.16846272267429074,0.1691224983505608,0.05432153067956895,,,,202599,39,0.022443348683853327
9_census,0.6613684734494518,0.6611620163182585,0.6514636172425993,,,,0.08609760557433158,0.08605148802992577,0.08522011347421066,,,,0.06656613528651444,0.06645842309349419,0.0708207669108143,,,,0.06656613528651444,0.06645842309349419,0.0708207669108143,,,,0.06656613528651444,0.06645842309349419,0.0708207669108143,,,,299285,500,0.062041198189017155
